2026-08-19 13:14:56 | INFO     | decision_ai.unified_scoring_engine | Completed unified scoring pipeline for candidate=mid_partial_qe_journey final_score=73.07 recommendation=hold
2026-08-19 13:14:56 | INFO     | final_decision_ai.final_decision_engine | Starting final decision pipeline for candidate=mid_partial_qe_journey
2026-08-19 13:14:56 | INFO     | final_decision_ai.final_decision_engine | Completed final decision pipeline for candidate=mid_partial_qe_journey base_final_score=73.07 adjusted_score=73.07 final_recommendation=hold
2026-08-19 13:14:56 | INFO     | hiring_report_ai.hiring_report_engine | Building hiring report for candidate_id=mid_partial_qe_journey.
2026-08-19 13:14:56 | INFO     | hiring_report_ai.hiring_report_engine | Hiring report built for candidate_id=mid_partial_qe_journey; authoritative_recommendation=hold (source=final_decision_ai (risk-adjusted final recommendation)).
2026-08-19 13:14:56 | INFO     | __main__ | Running full system pipeline for candidate_id=fresher_qe_journey
2026-08-19 13:14:57 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-08-19 13:14:57 | INFO     | scoring.ats_scorer | Must-have filter passed: met 2/2 (need 1).
2026-08-19 13:14:57 | INFO     | scoring.ats_scorer | _score_skills(): matched 3/5, score=32.00.
2026-08-19 13:14:57 | INFO     | ats_engine.experience_parser | Relevance score for 'Quality Engineer': 1.00 (total months: 6).
2026-08-19 13:14:57 | INFO     | scoring.ats_scorer | _score_experience(): total=6 months, relevance=1.00, score=100.00.
2026-08-19 13:14:57 | INFO     | parsers.education_parser | Education relevance: score=1.00, level=bachelors, field_matched=True.
2026-08-19 13:14:57 | INFO     | parsers.education_parser | Education relevance: score=1.00, level=bachelors, field_matched=True.
2026-08-19 13:14:57 | INFO     | scoring.ats_scorer | _score_education(): level=bachelors, field_matched=True, score=100.00.
2026-08-19 13:14:57 | INFO     | scoring.ats_scorer | Scoring complete — final_score=52.35, shortlisted=True, label=Weak Match.
2026-08-19 13:14:57 | INFO     | interview_ai.communication_engine | calculate_communication_score ->cx score=92.00, level=Excellent, word_count=22
2026-08-19 13:14:57 | INFO     | interview_ai.confidence_analyzer | calculate_confidence confidence_score=92.50
2026-08-19 13:14:57 | INFO     | interview_ai.sentiment_engine | detect_sentiment pos_count=0 neg_count=0 result=sentiment='Neutral' sentiment_score=0.5
2026-08-19 13:14:57 | INFO     | interview_ai.behavior_analyzer | analyze_behavior behavioral_score=86.25
2026-08-19 13:14:57 | INFO     | interview_ai.hr_scoring_engine | HR interview scored: hr_score=72.73, decision=Consider
2026-08-19 13:14:57 | INFO     | interview_ai.summary_generator | generate_interview_summary called for candidate_id=fresher_qe_journey
2026-08-19 13:14:57 | INFO     | technical_ai.technical_scoring_engine | Technical interview scored: technical_score=13.0, decision=Weak Technical Fit
2026-08-19 13:14:57 | INFO     | machine_test_ai.machine_test_scoring | calculate_machine_test_score task_score=29.17 time_score=1.67 final_score=22.30 decision=Weak Practical Fit
2026-08-19 13:14:57 | INFO     | visual_behavior_ai.visual_behavior_scoring | calculate_visual_behavior_score visual_behavior_score=41.00 level=Variable Engagement
2026-08-19 13:14:57 | INFO     | integrity_ai.integrity_scoring | calculate_integrity_score integrity_score=62.00 risk_level=Moderate Risk warning_count=0
2026-08-19 13:14:57 | INFO     | decision_ai.unified_scoring_engine | Starting unified scoring pipeline for candidate=fresher_qe_journey
2026-08-19 13:14:57 | INFO     | decision_ai.unified_scoring_engine | Completed unified scoring pipeline for candidate=fresher_qe_journey final_score=41.5 recommendation=rejected
2026-08-19 13:14:57 | INFO     | final_decision_ai.final_decision_engine | Starting final decision pipeline for candidate=fresher_qe_journey
2026-08-19 13:14:57 | INFO     | final_decision_ai.final_decision_engine | Completed final decision pipeline for candidate=fresher_qe_journey base_final_score=41.5 adjusted_score=34.5 final_recommendation=rejected
2026-08-19 13:14:57 | INFO     | hiring_report_ai.hiring_report_engine | Building hiring report for candidate_id=fresher_qe_journey.
2026-08-19 13:14:57 | INFO     | hiring_report_ai.hiring_report_engine | Hiring report built for candidate_id=fresher_qe_journey; authoritative_recommendation=rejected (source=final_decision_ai (risk-adjusted final recommendation)).
2026-08-19 13:14:57 | INFO     | __main__ | Running full system pipeline for candidate_id=flagged_integrity_qe_journey
2026-08-19 13:14:57 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-08-19 13:14:57 | INFO     | scoring.ats_scorer | Must-have filter passed: met 5/5 (need 3).
2026-08-19 13:14:57 | INFO     | scoring.ats_scorer | _score_skills(): matched 8/9, score=78.89.
2026-08-19 13:14:57 | INFO     | ats_engine.experience_parser | Relevance score for 'Quality Engineer': 1.00 (total months: 48).
2026-08-19 13:14:57 | INFO     | scoring.ats_scorer | _score_experience(): total=48 months, relevance=1.00, score=100.00.
2026-08-19 13:14:57 | INFO     | parsers.education_parser | Education relevance: score=1.00, level=bachelors, field_matched=True.
2026-08-19 13:14:57 | INFO     | parsers.education_parser | Education relevance: score=1.00, level=bachelors, field_matched=True.
2026-08-19 13:14:57 | INFO     | scoring.ats_scorer | _score_education(): level=bachelors, field_matched=True, score=100.00.
2026-08-19 13:14:57 | INFO     | parsers.education_parser | Certification relevance: score=0.00, relevant=0/2.
2026-08-19 13:14:57 | INFO     | parsers.education_parser | Certification relevance: score=0.00, relevant=0/2.
2026-08-19 13:14:57 | INFO     | scoring.ats_scorer | _score_certifications(): total=2, relevant=0, score=5.00.
2026-08-19 13:14:57 | INFO     | scoring.ats_scorer | Scoring complete — final_score=72.18, shortlisted=True, label=Moderate Match.
2026-08-19 13:14:57 | INFO     | interview_ai.communication_engine | calculate_communication_score ->cx score=100.00, level=Excellent, word_count=57
2026-08-19 13:14:57 | INFO     | interview_ai.confidence_analyzer | calculate_confidence confidence_score=100.00
2026-08-19 13:14:57 | INFO     | interview_ai.sentiment_engine | detect_sentiment pos_count=0 neg_count=0 result=sentiment='Neutral' sentiment_score=0.5
2026-08-19 13:14:57 | INFO     | interview_ai.behavior_analyzer | analyze_behavior behavioral_score=90.00
2026-08-19 13:14:57 | INFO     | interview_ai.hr_scoring_engine | HR interview scored: hr_score=94.0, decision=Strong Hire
2026-08-19 13:14:57 | INFO     | interview_ai.summary_generator | generate_interview_summary called for candidate_id=flagged_integrity_qe_journey
2026-08-19 13:14:57 | INFO     | technical_ai.technical_scoring_engine | Technical interview scored: technical_score=73.66, decision=Moderate Technical Fit
2026-08-19 13:14:57 | INFO     | machine_test_ai.machine_test_scoring | calculate_machine_test_score task_score=79.40 time_score=20.83 final_score=64.76 decision=Moderate Practical Fit
2026-08-19 13:14:57 | INFO     | visual_behavior_ai.visual_behavior_scoring | calculate_visual_behavior_score visual_behavior_score=72.70 level=Engaged
2026-08-19 13:14:57 | INFO     | integrity_ai.integrity_scoring | calculate_integrity_score integrity_score=0.00 risk_level=High Risk warning_count=4
2026-08-19 13:14:57 | INFO     | decision_ai.unified_scoring_engine | Starting unified scoring pipeline for candidate=flagged_integrity_qe_journey
2026-08-19 13:14:57 | INFO     | decision_ai.unified_scoring_engine | Completed unified scoring pipeline for candidate=flagged_integrity_qe_journey final_score=77.77 recommendation=selected
2026-08-19 13:14:57 | INFO     | final_decision_ai.final_decision_engine | Starting final decision pipeline for candidate=flagged_integrity_qe_journey
2026-08-19 13:14:57 | INFO     | final_decision_ai.final_decision_engine | Completed final decision pipeline for candidate=flagged_integrity_qe_journey base_final_score=77.77 adjusted_score=62.77 final_recommendation=hold
2026-08-19 13:14:57 | INFO     | hiring_report_ai.hiring_report_engine | Building hiring report for candidate_id=flagged_integrity_qe_journey.
2026-08-19 13:14:57 | INFO     | hiring_report_ai.hiring_report_engine | Hiring report built for candidate_id=flagged_integrity_qe_journey; authoritative_recommendation=hold (source=final_decision_ai (risk-adjusted final recommendation)).
2026-08-19 13:14:57 | INFO     | __main__ | Completed Day 56 full-system demonstration
2026-08-19 13:15:26 | INFO     | __main__ | Starting Day 56 full-system demonstration
2026-08-19 13:15:26 | INFO     | __main__ | Running full system pipeline for candidate_id=senior_full_qe_journey
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | Must-have filter passed: met 5/5 (need 3).
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | _score_skills(): matched 9/9, score=98.33.
2026-08-19 13:15:27 | INFO     | ats_engine.experience_parser | Relevance score for 'Quality Engineer': 1.00 (total months: 96).
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | _score_experience(): total=96 months, relevance=1.00, score=100.00.
2026-08-19 13:15:27 | INFO     | parsers.education_parser | Education relevance: score=1.00, level=bachelors, field_matched=True.
2026-08-19 13:15:27 | INFO     | parsers.education_parser | Education relevance: score=1.00, level=bachelors, field_matched=True.
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | _score_education(): level=bachelors, field_matched=True, score=100.00.
2026-08-19 13:15:27 | INFO     | parsers.education_parser | Certification relevance: score=0.00, relevant=0/3.
2026-08-19 13:15:27 | INFO     | parsers.education_parser | Certification relevance: score=0.00, relevant=0/3.
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | _score_certifications(): total=3, relevant=0, score=10.00.
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | Scoring complete — final_score=80.05, shortlisted=True, label=Moderate Match.
2026-08-19 13:15:27 | INFO     | interview_ai.communication_engine | calculate_communication_score ->cx score=100.00, level=Excellent, word_count=136
2026-08-19 13:15:27 | INFO     | interview_ai.confidence_analyzer | calculate_confidence confidence_score=85.00
2026-08-19 13:15:27 | INFO     | interview_ai.sentiment_engine | detect_sentiment pos_count=0 neg_count=1 result=sentiment='Negative' sentiment_score=0.2
2026-08-19 13:15:27 | INFO     | interview_ai.behavior_analyzer | analyze_behavior behavioral_score=76.50
2026-08-19 13:15:27 | INFO     | interview_ai.hr_scoring_engine | HR interview scored: hr_score=93.8, decision=Strong Hire
2026-08-19 13:15:27 | INFO     | interview_ai.summary_generator | generate_interview_summary called for candidate_id=senior_full_qe_journey
2026-08-19 13:15:27 | INFO     | technical_ai.technical_scoring_engine | Technical interview scored: technical_score=86.0, decision=Strong Technical Fit
2026-08-19 13:15:27 | INFO     | machine_test_ai.machine_test_scoring | calculate_machine_test_score task_score=85.50 time_score=25.00 final_score=70.38 decision=Strong Practical Fit
2026-08-19 13:15:27 | INFO     | visual_behavior_ai.visual_behavior_scoring | calculate_visual_behavior_score visual_behavior_score=85.20 level=Highly Engaged
2026-08-19 13:15:27 | INFO     | integrity_ai.integrity_scoring | calculate_integrity_score integrity_score=91.00 risk_level=Low Risk warning_count=0
2026-08-19 13:15:27 | INFO     | decision_ai.unified_scoring_engine | Starting unified scoring pipeline for candidate=senior_full_qe_journey
2026-08-19 13:15:27 | INFO     | decision_ai.unified_scoring_engine | Completed unified scoring pipeline for candidate=senior_full_qe_journey final_score=84.02 recommendation=selected
2026-08-19 13:15:27 | INFO     | final_decision_ai.final_decision_engine | Starting final decision pipeline for candidate=senior_full_qe_journey
2026-08-19 13:15:27 | INFO     | final_decision_ai.final_decision_engine | Completed final decision pipeline for candidate=senior_full_qe_journey base_final_score=84.02 adjusted_score=84.02 final_recommendation=selected
2026-08-19 13:15:27 | INFO     | hiring_report_ai.hiring_report_engine | Building hiring report for candidate_id=senior_full_qe_journey.
2026-08-19 13:15:27 | INFO     | hiring_report_ai.hiring_report_engine | Hiring report built for candidate_id=senior_full_qe_journey; authoritative_recommendation=selected (source=final_decision_ai (risk-adjusted final recommendation)).
2026-08-19 13:15:27 | INFO     | __main__ | Running full system pipeline for candidate_id=mid_partial_qe_journey
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | Must-have filter passed: met 3/3 (need 2).
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | _score_skills(): matched 5/5, score=82.00.
2026-08-19 13:15:27 | INFO     | ats_engine.experience_parser | Relevance score for 'Quality Engineer': 1.00 (total months: 48).
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | _score_experience(): total=48 months, relevance=1.00, score=100.00.
2026-08-19 13:15:27 | INFO     | parsers.education_parser | Education relevance: score=1.00, level=bachelors, field_matched=True.
2026-08-19 13:15:27 | INFO     | parsers.education_parser | Education relevance: score=1.00, level=bachelors, field_matched=True.
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | _score_education(): level=bachelors, field_matched=True, score=100.00.
2026-08-19 13:15:27 | INFO     | parsers.education_parser | Certification relevance: score=0.00, relevant=0/2.
2026-08-19 13:15:27 | INFO     | parsers.education_parser | Certification relevance: score=0.00, relevant=0/2.
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | _score_certifications(): total=2, relevant=0, score=5.00.
2026-08-19 13:15:27 | INFO     | scoring.ats_scorer | Scoring complete — final_score=78.58, shortlisted=True, label=Moderate Match.
2026-08-19 13:15:27 | INFO     | interview_ai.communication_engine | calculate_communication_score ->cx score=100.00, level=Excellent, word_count=62
2026-08-19 13:15:27 | INFO     | interview_ai.confidence_analyzer | calculate_confidence confidence_score=92.50
2026-08-19 13:15:27 | INFO     | interview_ai.sentiment_engine | detect_sentiment pos_count=0 neg_count=0 result=sentiment='Neutral' sentiment_score=0.5
2026-08-19 13:15:27 | INFO     | interview_ai.behavior_analyzer | analyze_behavior behavioral_score=86.25
2026-08-19 13:15:27 | INFO     | interview_ai.hr_scoring_engine | HR interview scored: hr_score=89.72, decision=Strong Hire
2026-08-19 13:15:27 | INFO     | interview_ai.summary_generator | generate_interview_summary called for candidate_id=mid_partial_qe_journey
2026-08-19 13:15:27 | INFO     | technical_ai.technical_scoring_engine | Technical interview scored: technical_score=53.84, decision=Weak Technical Fit
2026-08-19 13:15:27 | INFO     | visual_behavior_ai.visual_behavior_scoring | calculate_visual_behavior_score visual_behavior_score=64.80 level=Engaged
2026-08-19 13:15:27 | INFO     | integrity_ai.integrity_scoring | calculate_integrity_score integrity_score=82.00 risk_level=Low Risk warning_count=0
2026-08-19 13:15:27 | INFO     | decision_ai.unified_scoring_engine | Starting unified scoring pipeline for candidate=mid_partial_qe_journey
2026-08-19 13:15:27 | INFO     | decision_ai.unified_scoring_engine | Completed unified scoring pipeline for candidate=mid_partial_qe_journey final_score=73.07 recommendation=hold
2026-08-19 13:15:27 | INFO     | final_decision_ai.final_decision_engine | Starting final decision pipeline for candidate=mid_partial_qe_journey
2026-08-19 13:15:27 | INFO     | final_decision_ai.final_decision_engine | Completed final decision pipeline for candidate=mid_partial_qe_journey base_final_score=73.07 adjusted_score=73.07 final_recommendation=hold
2026-08-19 13:15:27 | INFO     | hiring_report_ai.hiring_report_engine | Building hiring report for candidate_id=mid_partial_qe_journey.
2026-08-19 13:15:27 | INFO     | hiring_report_ai.hiring_report_engine | Hiring report built for candidate_id=mid_partial_qe_journey; authoritative_recommendation=hold (source=final_decision_ai (risk-adjusted final recommendation)).
2026-08-19 13:15:27 | INFO     | __main__ | Running full system pipeline for candidate_id=fresher_qe_journey
2026-08-19 13:15:28 | INFO     | scoring.ats_scorer | Starting ATS scoring for job: 'Quality Engineer'.
2026-08-19 13:15:28 | INFO     | scoring.ats_scorer | Must-have filter passed: met 2/2 (need 1).
